

## Plugins

Dillinger is currently extended with the following plugins.
Instructions on how to use them in your own application are linked below.

| Year | README | Fraktion |
| ------ | ------ | ------ |
| 2050 |  _Space D gelingt es eine 10 Personensiedlung auf dem Mars zu erhalten. _Klimaneutralität in den Skandinavischen und Mitteleuropäischen Ländern _Bau der ersten Mondbasis | Vorgeschichte | 
| 2060 | _Gesundheitliche Probleme auf dem Mars. _Space D gründet Biontechfirma und unterhält mit Colonial Structure die Mars Außenbasis _Mondbasis von USA, China, Indien und Europa zusammen gegründet  | Vorgeschichte | 
| 2080 | _Genanpassung an 20 Personen auf dem Mars _erster Asterioid wird abgebaut "Goldene 20er für Rohstoffe" _Polkappen sind geschmolzen, heftige Naturkatastrophen  | Vorgeschichte | 
| 2100 - 2150 | _Goldrausch im All _Mond erhält Raffenerien und Infrastrukturausbau zur Unabhängigkeit _Nach dem Mondvorbild ensteht eine Kolonie auf dem Mars mit 10.000 Menschen _Space D und Colonial Structure errichten die erste Industrie auf dem Mars "Mars Tec" | Vorgeschichte | 
| 2151 | _Keppler Syndrom schneidet die Erde für knapp 10 Jahre fast komplett ab _Viele Bauteile stürtzen auf Städte und erzeugen massive Waldbrände | Vorgeschichte | 
| 2160 | _Erklärung des unabhängigen Mondes und Mars _Space D und Tochterfirma ziehen sich aus der öffentlichen Politik zurück und übernehmen indirekt über Besitztümer | Vorgeschichte | 
| 2200 | _Vatra Logistic erlebt durch Erdreinigungsaufgräge ihren Höhenflug und expandieren neutral mit vielen Handelsstationen _Diese dienen als Warenaustauschplattformen zwischen Plante, Mond und Raumbasen  | Vorgeschichte | 
| 2222 | _Colonia Structure und Zhang Fay Mining kolonisieren fremde Systeme und Asteroidengürtel _Nach den ersten Freien Völkern bildet sich die Demokratische Allianz _Neue Systeme erhalten Strafarbeiter _Programm "Neue Hoffnung" wurde ins Leben gerufen | Vorgeschichte | 
| 2250 | _Gallera Works verzeichnet Luft- und Raumfahrterfolge _Erde startet letztes Wiederherstellungs und Reinigungsprogramm _Erdbevölkerung stabilisiert sich auf 1 Millarde Menschen _Eine gruppe von Forschern, die Sync, fliehen um Ihre Forschung weiter zu verfolgen _Erdbevölkerung äußert ethnische Bedenken der Forschung _Politische Spannungen im Erdsystem _Marsbevölkerung bei 80 Mio _Die Bewegung Jünger Gottes startet _Mond und viele Raumbasen stehen unter Restauration  | Vorgeschichte | 
| 2300| _nach dem Krieg mit den Sync und den verhärteten Fronten im Sonnensystem geht der Wunsch der Bevölkerung auf Versöhnung um.  _Angst das Sync und das mäßig zu kontrollierende System One auf ein geschwächtes Heimatsystem stößt| Vorgeschichte | 
| 2300 -2350 | _Durch Vernachlässigung der Nebensysteme enstehten Mafiöse Vereinigungen und Freie Völker etablieren sich offiziell _Die Sync befinden sich im Wiederaufbau | Vorgeschichte | 
| 2372 | _Anschlag im Politikviertel auf der Erde. Dekokratische Allianz _"Der General" wurde das Demokratische Oberhaupt (Partei AV) | Demokratische Allianz |
| 2375 | _Schläferausbruch der Aliens _Massive Infrastrukturschäden | Allgemein |
| 2375 | _Notstand wird ausgerufen _Der General ist nun Militär und Demokratieoberhaupt | Demokratische Allianz |
| 2376 | _Aufstände der Bevölkerung _Gewünschte Neuwahlen, Partei EF sehr beliebt _Straßenkämpfe mit der Polizei und vereinzelt mit dem Militär  | Demokratische Allianz |
| 2377 | _Massiver Schläferausbruch auf dem Mond _Erdinfrastrukturen kurz vor dem Kollaps | Demokratische Allianz |
| 2378 |  |  |
| 2379 | _Space D und Sync helfen sich gegenseitig _Beide finden einen Weg gegen die Schläfer  | Demokratische Allianz und Sync |

